BUSINESS_NAME,OFFICE_ADDRESS1,OFFICE_ADDRESS2,OFFICE_CITY,OFFICE_STATE,OFFICE_ZIPCODE,OFFICE_TELEPHONE,OFFICE_WEBSITE,ADVISOR_NAME,ADVISOR_EMAIL,ADVISOR_ID
"CENTRAL FAMILY ADVISORS, LLC",655 THIRD AVENUE,SUITE 2900,NEW YORK,NY,10017,9179937115,WWW.CENFAM.COM,William Skarnulis,William.Skarnulis@CENFAM.COM,283995
CONCORD INVESTMENT MANAGEMENT,610 FIFTH AVENUE,6TH  FLOOR,NEW YORK,NY,10020,2127592375,WWW.CONCORDUS.COM,Brian Martin,Brian.Martin@CONCORDUS.COM,111973
CAMPBELL & COMPANY INVESTMENT ADVISER LLC,2850 QUARRY LAKE DRIVE,,BALTIMORE,MD,21209,4104132600,WWW.CAMPBELL.COM/,Travis Snyder,Travis.Snyder@CAMPBELL.COM/,134332
NEOSHO ADVISORS LLC,5200 W. 94TH TERRACE,SUITE 200,PRAIRIE VILLAGE,KS,66207,9136498406,WWW.NEOSHOADVISORS.COM,Patrick Whalen,Patrick.Whalen@NEOSHOADVISORS.COM,149869
"VIDA CAPITAL MANAGEMENT, LLC",835 W. 6TH STREET,SUITE 1400,AUSTIN,TX,78703,5129618265,WWW.VIDACAPITALINC.COM,Alfredo Lara,Alfredo.Lara@VIDACAPITALINC.COM,155231
GRANDVIEW ASSET MANAGEMENT LLC,4200 CRUMS MILL ROAD,FLOOR 2,HARRISBURG,PA,17112,7175411000,WWW.GRANDVIEWASSETMANAGEMENT.COM/,Douglas Bulthuis,Douglas.Bulthuis@GRANDVIEWASSETMANAGEMENT.COM/,172357
"CRABEL CAPITAL MANAGEMENT, LLC",10250 CONSTELLATION BLVD.,SUITE 2650,LOS ANGELES,CA,90067,3106512900,WWW.CRABEL.COM/,Chris Hampel,Chris.Hampel@CRABEL.COM/,167332
"WALPOLE FINANCIAL ADVISORS, LLC",70 SANTA FELICIA DRIVE,,GOLETA,CA,93117,8058456587,WWW.WALPOLEADVISORS.COM/,Arthur Wiley Jr,Arthur.Wiley Jr@WALPOLEADVISORS.COM/,135834
GOVERNMENT PORTFOLIO ADVISORS LLC,2188 SW PARK PLACE,SUITE 100,PORTLAND,OR,97205,5032489973,WWW.GPAFIXEDINCOME.COM,David Cartwright,David.Cartwright@GPAFIXEDINCOME.COM,170384
G&S CAPITAL LLC,7887 E. BELLEVIEW AVE.,SUITE 1225,DENVER,CO,80111,3037738000,GANDSCAPITAL.COM/,Marcello Rosales,Marcello.Rosales@GANDSCAPITAL.COM/,171033
"AVIVAR CAPITAL, LLC",6464 SUNSET BLVD.,SUITE 1180,LOS ANGELES,CA,90028,8186816833,WWW.AVIVARCAPITAL.COM,Corey Sulouff,Corey.Sulouff@AVIVARCAPITAL.COM,215516
MONTROSE ADVISORS INC,"505 PARK AVENUE, 20TH FLOOR",,NEW YORK,NY,10022,2128884747,WWW.MONTROSEADVISORS.COM,Chris Stevens,Chris.Stevens@MONTROSEADVISORS.COM,105918
CONTEXT CAPITAL MANAGEMENT LLC,2223 AVENIDA DE LA PLAYA,SUITE 300,LA JOLLA,CA,92037,8584813666,WWW.CONTEXTFUNDS.COM,Randy Price,Randy.Price@CONTEXTFUNDS.COM,115167
"ATTUCKS ASSET MANAGEMENT, LLC",321 NORTH CLARK STREET,SUITE 825,CHICAGO,IL,60654,3124229200,WWW.ATTUCKSFUNDS.COM,Peter Kirsch,Peter.Kirsch@ATTUCKSFUNDS.COM,118891
PZENA INVESTMENT MANAGEMENT LLC,"320 PARK AVENUE, 8TH FLOOR",,NEW YORK,NY,10022,2123551600,WWW.PZENA.COM,Robert Warford,Robert.Warford@PZENA.COM,106847
UBS ASSET MANAGEMENT (AMERICAS) INC.,1285 AVENUE OF THE AMERICAS,,NEW YORK,NY,10019,2128213000,WWW.UBS.COM,Joshua Smith,Joshua.Smith@UBS.COM,106838
ADVISORY RESEARCH INC,180 N STETSON AVENUE,SUITE 5500,CHICAGO,IL,60601,3125651414,ADVISORYRESEARCH.COM,Kevin Mccabe,Kevin.Mccabe@ADVISORYRESEARCH.COM,108254
"LAUTERBACH FINANCIAL ADVISORS, LLC",4130 RIO BRAVO STREET,,EL PASO,TX,79902,9155446950,WWW.LFA-IA.COM,Michael Straight,Michael.Straight@LFA-IA.COM,114431
PEARSON CREEK CAPITAL MANAGEMENT LLC,333 SOUTH WABASH SUITE 2700,,CHICAGO,IL,60604,3128785520,PEARSONCREEKCAPITAL.COM,James Lauderdale,James.Lauderdale@PEARSONCREEKCAPITAL.COM,160354
TRENT CAPITAL MANAGEMENT INC,"3150 NORTH ELM ST,STE 204",,GREENSBORO,NC,27408,3362829302,WWW.TRENTCAPITAL.COM,William Willis,William.Willis@TRENTCAPITAL.COM,107344
PORTFOLIO MANAGEMENT TECHNOLOGY,4630 GEARY BLVD #304,,SAN FRANCISCO,CA,94118,4157526981,PORTFOLIOMANAGEMENTTECHNOLOGY.COM,Robert Julien III,Robert.Julien III@PORTFOLIOMANAGEMENTTECHNOLOGY.COM,106135
"GREAT LAKES ADVISORS, LLC",231 S. LASALLE STREET,4TH FLOOR,CHICAGO,IL,60604,3124311700,WWW.WHUMMER.COM,Hipolito Reyes,Hipolito.Reyes@WHUMMER.COM,110757
"PROSPERITY WEALTH MANAGEMENT, INC.",2333 SAN RAMON VALLEY BLVD.,SUITE 200,SAN RAMON,CA,94583,9257914444,WWW.THINKPWM.COM,Brad Shoemaker,Brad.Shoemaker@THINKPWM.COM,174328
"ZIEGLER CAPITAL MANAGEMENT, LLC",70 WEST MADISON STREET,SUITE 2400,CHICAGO,IL,60602,3123681442,WWW.ZIEGLERCAP.COM,Michael Enriquez,Michael.Enriquez@ZIEGLERCAP.COM,135622
"DOPKINS WEALTH MANAGEMENT, LLC",200 INTERNATIONAL DRIVE,,WILLIAMSVILLE,NY,14221,7166348800,WWW.DOPKINS.COM,Garry Rigler,Garry.Rigler@DOPKINS.COM,124209
"SCOTT INVESTMENT ADVISORS, L.P.",349 EAST KELLY AVENUE,,JACKSON,WY,83001,5629007261,SCOTTADVISORS.COM,Byron Pipes,Byron.Pipes@SCOTTADVISORS.COM,110466
ANGELES INVESTMENT ADVISORS,429 SANTA MONICA BLVD.,SUITE 650,SANTA MONICA,CA,90401,3103936300,WWW.ANGELESADVISORS.COM,Brian Cole,Brian.Cole@ANGELESADVISORS.COM,110213
"DREXEL MORGAN CAPITAL ADVISERS, INC.",THREE RADNOR CORPORATE CENTER,SUITE 305,RADNOR,PA,19087,6109711901,WWW.DREXELMORGANCAPITAL.COM,Albert Ruhl Jr,Albert.Ruhl Jr@DREXELMORGANCAPITAL.COM,110339
OLD GLORY ASSET MANAGEMENT LLC,5 GREAT VALLEY PARKWAY,SUITE 326,MALVERN,PA,19355,6106483860,WWW.OLDGLORYAM.COM,Thomas Lowry,Thomas.Lowry@OLDGLORYAM.COM,126013
"COPELAND CAPITAL MANAGEMENT, LLC",EIGHT TOWER BRIDGE,"161 WASHINGTON STREET, SUITE 1325",CONSHOHOCKEN,PA,19428,4843513700,WWW.COPELANDCAPITAL.COM,Jason Hendron,Jason.Hendron@COPELANDCAPITAL.COM,135822
"FIDUCIARY ADVISORS, LLC",1801 MARKET STREET,SUITE 1000,PHILADELPHIA,PA,19103,2675342490,WWW.FIDUCIARYADVISORS.COM,Carl Cox,Carl.Cox@FIDUCIARYADVISORS.COM,104189
EAGLE GLOBAL ADVISORS LLC,1330 POST OAK BOULEVARD,SUITE 3000,HOUSTON,TX,77056,7139523550,WWW.EAGLEGLOBAL.COM,Anthony Randle,Anthony.Randle@EAGLEGLOBAL.COM,107306
"MORRISON FIDUCIARY ADVISORS,  INC.",1405 MCFARLAND ROAD,,PITTSBURGH,PA,15216,4123446052,WWW.MORRISONADVISORS.COM,Darren Wilson,Darren.Wilson@MORRISONADVISORS.COM,127562
FREESTATE ADVISORS LLC,4901 W. 136TH STREET,,LEAWOOD,KS,66224,9138902065,WWW.FREESTATEADVISORS.COM,Justin Royer,Justin.Royer@FREESTATEADVISORS.COM,145800
"BELL ROCK CAPITAL, LLC",19606 COASTAL HIGHWAY,SUITE 101,REHOBOTH BEACH,DE,19971,3022277607,WWW.BELLROCKCAPITAL.COM,Chad Koop,Chad.Koop@BELLROCKCAPITAL.COM,139163
DEUTSCHE BANK SECURITIES INC.,345 PARK AVENUE,,NEW YORK,NY,10154,2122502500,WWW.DB.COM,Jose Ventura,Jose.Ventura@DB.COM,2525
CENTRE PARTNERS MANAGEMENT LLC,825 THIRD AVENUE,4OTH FLOOR,NEW YORK,NY,10022,2123325800,WWW.CENTREPARTNERS.COM,Eric Reinhardt,Eric.Reinhardt@CENTREPARTNERS.COM,109534
"NEW CENTURY ADVISORS, LLC",2 WISCONSIN CIRCLE,SUITE 940,CHEVY CHASE,MD,20815,2403950550,NEWCENTURYADVISORS.COM,Steven Marshalek,Steven.Marshalek@NEWCENTURYADVISORS.COM,122478
"MAIN LINE RETIREMENT ADVISORS, LLC",110 N PHOENIXVILLE PIKE,#300,MALVERN,PA,19355,8002666532,WWW.MLRA401K.COM/,Eric Selburg,Eric.Selburg@MLRA401K.COM/,284780
BRYDEN-ABRAMS INVESTMENT MANAGEMENT LLC,485 MADISON AVENUE,SUITE 713,NEW YORK,NY,10022,2128501127,WWW.BRYDENABRAMS.COM,Jose Arevalo Bonilla,Jose.Arevalo Bonilla@BRYDENABRAMS.COM,143124
"CONESTOGA CAPITAL ADVISORS, LLC",CROSSPOINT AT VALLEY FORGE,550 E. SWEDESFORD RD. SUITE 120,WAYNE,PA,19087,4846541380,WWW.CONESTOGACAPITAL.COM,Clifford Vance,Clifford.Vance@CONESTOGACAPITAL.COM,111750
"STEWART CAPITAL ADVISORS, LLC",800 PHILADELPHIA STREET,,INDIANA,PA,15701,7244653458,WWW.STEWARTCAP.COM,Kevin Quinn,Kevin.Quinn@STEWARTCAP.COM,134012
"BAYVIEW ASSET MANAGEMENT, LLC",4425 PONCE DE LEON BLVD.,5TH FLOOR,CORAL GABLES,FL,33146,3058548880,WWW.BAYVIEWASSETMANAGEMENT.COM,Randy Frazier,Randy.Frazier@BAYVIEWASSETMANAGEMENT.COM,157053
"CLEARLAKE CAPITAL GROUP, L.P.",233 WILSHIRE BLVD,SUITE 800,SANTA MONICA,CA,90401,3104008800,WWW.CLEARLAKE.COM,Mark Nicklaus,Mark.Nicklaus@CLEARLAKE.COM,157920
MILLIMAN FINANCIAL RISK MANAGEMENT LLC,"71 S. WACKER DR.,  31ST FLOOR",,CHICAGO,IL,60606,3127260677,WWW.MILLIMAN.COM,Wesley Elkins,Wesley.Elkins@MILLIMAN.COM,159377
"PASKIN CAPITAL ADVISORS, LLC",100 PINE STREET,SUITE 2700,SAN FRANCISCO,CA,94111,4156255480,WWW.PASKINCAPITALADVISORS.COM/,Dave Engelsman,Dave.Engelsman@PASKINCAPITALADVISORS.COM/,160004
"MARKETOS WEALTH MANAGEMENT, LLC",1177 AVENUE OF THE AMERICAS,5TH FLOOR,NEW YORK,NY,10036,6464527169,MARKETOSWEALTHMANAGEMENT.COM/,Ruben Trujillo,Ruben.Trujillo@MARKETOSWEALTHMANAGEMENT.COM/,289539
"AMERICAFIRST CAPITAL MANAGEMENT, LLC","300 HARDING, STE. 215",,ROSEVILLE,CA,95678,9167879940,WWW.AMERICAFIRSTFUNDS.COM,Janusz Binkowski,Janusz.Binkowski@AMERICAFIRSTFUNDS.COM,152248
"FMF&E WEALTH MANAGEMENT, LLC",125 EAST JEFFERSON STREET,SUITE 920,SYRACUSE,NY,13202,3154727045,WWW.FMFEWEALTHMGT.COM,Hector Ardon,Hector.Ardon@FMFEWEALTHMGT.COM,125721
"STRATIGRAPHIC ASSET MANAGEMENT, INC.",804 DOUGLAS RD,SUITE 363,CORAL GABLES,FL,33134,3054470300,WWW.STRATIGRAPHIC.COM,Scott Meyer,Scott.Meyer@STRATIGRAPHIC.COM,107119
MAINSTREET ADVISORS,120 N. LASALLE STREET,33RD FLOOR,CHICAGO,IL,60602,3122230270,WWW.MAINSTREETADV.COM,Samuel Cain,Samuel.Cain@MAINSTREETADV.COM,146615
ASB CAPITAL MANAGEMENT LLC,"7501 WISCONSIN AVENUE, WEST TOWER",13TH FLOOR,BETHESDA,MD,20814,2404822900,WWW.ASBINVESTMENTMANAGEMENT.COM,William Mchugh,William.Mchugh@ASBINVESTMENTMANAGEMENT.COM,110995
"BST WEALTH MANAGEMENT, LLC",26 COMPUTER DRIVE WEST,,ALBANY,NY,12205,5184596700,WWW.BSTWEALTH.COM,Steven Kotyza,Steven.Kotyza@BSTWEALTH.COM,283819
"BELRIDGE CAPITAL, LLC",1 NORTH FRANKLIN STREET,SUITE 640,CHICAGO,IL,60606,3122054123,BELRIDGECAPITAL.COM,Verne Thompson,Verne.Thompson@BELRIDGECAPITAL.COM,172175
TITUS WEALTH MANAGEMENT,700 LARKSPUR LANDING CIRCLE,SUITE 109,LARKSPUR,CA,94939,4154614800,WWW.GREENWEALTHMANAGEMENT.COM,Jeff Kell,Jeff.Kell@GREENWEALTHMANAGEMENT.COM,136970
FFC CAPITAL MANAGEMENT,400 POYDRAS STREET,SUITE 2430,NEW ORLEANS,LA,70130,5042992990,WWW.FFC-CAPITAL.COM,James Briscoe,James.Briscoe@FFC-CAPITAL.COM,113205
"QUANTITATIVE ASSET MANAGEMENT, LLC",641 E. LAKE STREET,SUITE 216,WAYZATA,MN,55391,9524767855,WWW.QAMGMT.COM,Patrick Knuth,Patrick.Knuth@QAMGMT.COM,143279
"MEMBERS CAPITAL ADVISORS, INC.",5910 MINERAL POINT RD,,MADISON,WI,53705,3194833241,WWW.CUNAMUTUAL.COM/MCA,Harold Henshaw,Harold.Henshaw@CUNAMUTUAL.COM/MCA,105960
RWC ASSET ADVISORS (US) LLC,2640 S. BAYSHORE DRIVE,SUITE 201,MIAMI,FL,33133,3056029501,WWW.RWCPARTNERS.COM,Randy Remington,Randy.Remington@RWCPARTNERS.COM,166517
"BRIXTON CAPITAL WEALTH ADVISORS, LLC",424 MADISON AVE,14TH FLOOR,NEW YORK,NY,10017,2125096670,WWW.BRIXTONWEALTH.COM/,Hector Rosales,Hector.Rosales@BRIXTONWEALTH.COM/,288810
"MORSE CAPITAL PARTNERS, LLC",8814 FARGO ROAD,,RICHMOND,VA,23229,8048887771,WWW.MORSECAPITALPARTNERS.COM,Refugio Haro,Refugio.Haro@MORSECAPITALPARTNERS.COM,146383
"MOON CAPITAL MANAGEMENT, LLC",900 SOUTH GAY STREET,SUITE 2103,KNOXVILLE,TN,37902,8655461234,WWW.MOONCAP.COM,Raymond Trimble,Raymond.Trimble@MOONCAP.COM,107612
COMERICA SECURITIES,411 WEST LAFAYETTE BLVD.,,DETROIT,MI,48226,3132227324,WWW.COMERICA.COM,Robert Kupres,Robert.Kupres@COMERICA.COM,17079
"CARLTON, HOFFERKAMP AND JENKS WEALTH MANAGEMENT, LLC",10200 GROGAN'S MILL ROAD,SUITE 340,THE WOODLANDS,TX,77380,2812982700,CHJWEALTHMANAGEMENT.COM,Jeffery Reagan,Jeffery.Reagan@CHJWEALTHMANAGEMENT.COM,154238
REYNOLDS INVESTMENT MANAGEMENT INC,"27 CLEVELAND STREET, STE 202",,GREENVILLE,SC,29601,8642328670,WWW.RIMGT.COM,Christopher Eckols,Christopher.Eckols@RIMGT.COM,106580
"CYPRESS CAPITAL MANAGEMENT, LLC",3801 KENNETT PIKE,SUITE C 200-A,GREENVILLE,DE,19807,3024298436,WWW.CYPRESS-CAPITAL.COM,Brian Massow,Brian.Massow@CYPRESS-CAPITAL.COM,109955
COWEN PRIME ADVISORS,599 LEXINGTON AVENUE,21ST FLOOR,NEW YORK,NY,10022,6465621010,WWW.COWEN.COM,Randy Dettloff,Randy.Dettloff@COWEN.COM,153397
"STATETRUST CAPITAL, LLC.",800 BRICKELL AVENUE,SUITE 100,MIAMI,FL,33131,3059218100,WWW.STATETRUST.COM,Kevin Mcdaniel,Kevin.Mcdaniel@STATETRUST.COM,114052
HOLDER WEALTH MANAGEMENT,2504 GALEN DRIVE,SUITE 105,CHAMPAIGN,IL,61821,2173984015,WWW.HOLDERWEALTHMGT.COM/,Ken Buhlman,Ken.Buhlman@HOLDERWEALTHMGT.COM/,170086
SIGNALERT ASSET MANAGEMENT LLC,525 NORTHERN BOULEVARD,SUITE 210,GREAT NECK,NY,11021,5168296444,WWW.APPELASSET.COM,Phillip Crockett,Phillip.Crockett@APPELASSET.COM,159065
VISION CAPITAL MANAGEMENT INC,ONE SW COLUMBIA,SUITE 915,PORTLAND,OR,97258,5032215656,WWW.VCMI.NET,Nickolas Werich,Nickolas.Werich@VCMI.NET,107793
SCHRODER INVESTMENT MANAGEMENT NORTH AMERICA INC,"7 BRYANT PARK, 19TH FLOOR",,NEW YORK,NY,10018,2126413800,WWW.SCHRODERS.COM/US/HOME/,Robert Wells,Robert.Wells@SCHRODERS.COM/US/HOME/,105820
CAMARDA WEALTH ADVISORY GROUP,4371 US HIGHWAY 17 SOUTH,SUITE 201,FLEMING ISLAND,FL,32003,9042781177,WWW.CAMARDA.COM,Raymond Dietz,Raymond.Dietz@CAMARDA.COM,113784
RIVER WEALTH ADVISORS LLC,3401 NORTH FRONT STREET,SUITE 303,HARRISBURG,PA,17110,8447847065,WWW.RIVERWEALTHADVISORS.COM,Brian Shaver,Brian.Shaver@RIVERWEALTHADVISORS.COM,173767
"WALL STREET ACCESS ASSET MANAGEMENT, LLC",17 BATTERY PLACE,11TH FLOOR,NEW YORK,NY,10004,2127099400,WWW.WSACCESS.COM,Jeremy Hulbert,Jeremy.Hulbert@WSACCESS.COM,126021
"WEALTHSTAR ADVISORS, LLC",305B W SPRING CREEK PARKWAY,SUITE 400,PLANO,TX,75023,9723722935,WWW.WEALTHSTARADVISORS.COM/,William Schaack,William.Schaack@WEALTHSTARADVISORS.COM/,164957
"WABASH CAPITAL, INC.",2901 OHIO BLVD,STE 242,TERRE HAUTE,IN,47803,8122429113,WABASHCAPITAL.COM,Salvador Sotelo,Salvador.Sotelo@WABASHCAPITAL.COM,107932
"LOCKTON INVESTMENT ADVISORS, LLC",444 W 47TH STREET,SUITE 900,KANSAS CITY,MO,64112,8169609000,WWW.LOCKTON.COM/,Jose Lopez,Jose.Lopez@LOCKTON.COM/,144133
ACADEMY CAPITAL MANAGEMENT,500 N VALLEY MILLS DR STE #200,,WACO,TX,76710,2547510555,WWW.ACADEMYCAPITALMGMT.COM,Joseph Kellen,Joseph.Kellen@ACADEMYCAPITALMGMT.COM,105008
ROTHSCHILD ASSET MANAGEMENT INC,1251 AVE OF THE AMERICAS,,NEW YORK,NY,10020,2124033500,WWW.ROTHSCHILD.COM/EN/ASSET-MANAGEMENT/RAMINC/,Thomas Kucinski,Thomas.Kucinski@ROTHSCHILD.COM/EN/ASSET-MANAGEMENT/RAMINC/,110349
"NTB ADVISORS, A DIVISION OF NTB FINANCIAL CORPORATION",9540 SOUTH MAROON CIRCLE,SUITE 250,CENTENNIAL,CO,80112,3038251825,WWW.NTBINC.COM,Kevin Zange,Kevin.Zange@NTBINC.COM,7425
"LENOX WEALTH ADVISORS, LLC",530 FIFTH AVE.,14TH FLOOR,NEW YORK,NY,10036,2122319062,WWW.LENOX-WEALTH.COM,Reynolds Adduci,Reynolds.Adduci@LENOX-WEALTH.COM,158380
EFFICIENT ADVISORS,1801 MARKET STREET,SUITE 1010,PHILADELPHIA,PA,19103,2676136250,WWW.EFFICIENTADVISORS.COM,David Pallister,David.Pallister@EFFICIENTADVISORS.COM,150144
"TRADEWISE ADVISORS, INC.","600 WEST CHICAGO AVENUE, SUITE 100",,CHICAGO,IL,60654,8777336786,WWW.TRADEWISE.COM,Matthew Binzen,Matthew.Binzen@TRADEWISE.COM,153744
"E*TRADE CAPITAL MANAGEMENT, LLC",11 TIMES SQUARE,32ND FL,NEW YORK,NY,10036,6465214300,WWW.ETRADE.COM,Christopher Robinson,Christopher.Robinson@ETRADE.COM,42159
"RENN CAPITAL GROUP, INC.",11520 N. CENTRAL EXPRESSWAY,SUITE 162,DALLAS,TX,75243,2148918294,WWW.RENCAPITAL.COM,Daniel Sychowski,Daniel.Sychowski@RENCAPITAL.COM,107550
ASCENSION INVESTMENT MANAGEMENT,101 S. HANLEY RD.,SUITE 200,CLAYTON,MO,63105,3147338000,WWW.ASCENSIONINVESTMENTMANAGEMENT.COM,Eugene Rahman,Eugene.Rahman@ASCENSIONINVESTMENTMANAGEMENT.COM,159767
MORNINGSTAR INVESTMENT MANAGEMENT LLC,22 WEST WASHINGTON STREET,,CHICAGO,IL,60602,3126966000,CORPORATE.MORNINGSTAR.COM,Jeffery Streit,Jeffery.Streit@CORPORATE.MORNINGSTAR.COM,108031
"EVART, YOUNG & HOBBS INVESTMENT MANAGEMENT",3 LAGOON DRIVE,SUITE 155,REDWOOD CITY,CA,94065,6508020342,WWW.EYHADVISORS.COM,Michael Puccini,Michael.Puccini@EYHADVISORS.COM,110263
"LEBENTHAL ASSET MANAGEMENT, LLC",410 PARK AVE,SUITE 610,NEW YORK,NY,10022,2124256006,WWW.LEBENTHAL.COM/,Thomas Koch,Thomas.Koch@LEBENTHAL.COM/,146332
FIRST KENTUCKY SECURITIES CORP,4360 BROWNSBORO ROAD,SUITE 115,LOUISVILLE,KY,40207,5028937288,FIRSTKY.COM,Anthony Wilcox,Anthony.Wilcox@FIRSTKY.COM,7524
CENTENNIAL SECURITIES COMPANY INC,3075 CHARLEVOIX DR SE,,GRAND RAPIDS,MI,49546,6169427680,WWW.CENTENNIALSEC.COM,Bernie Huizenga,Bernie.Huizenga@CENTENNIALSEC.COM,7763
"TAYLOR SECURITIES, INC.",100 WINNERS CIRCLE,SUITE 400,BRENTWOOD,TN,37027,6153721356,WWW.TAYLORWEALTHSOLUTIONS.COM,Kevin Muschkat,Kevin.Muschkat@TAYLORWEALTHSOLUTIONS.COM,17575
"AMERICAN WEALTH MANAGEMENT, INC.",1050 CROWN POINTE PARKWAY,SUITE 1230,ATLANTA,GA,30338,7703928740,AMERICANWEALTHMANAGEMENT.COM,William Kaehler,William.Kaehler@AMERICANWEALTHMANAGEMENT.COM,25536
CENTURY SECURITIES ASSOCIATES INC,501 N BROADWAY,,ST LOUIS,MO,63102,3143424051,WWW.CENTURYSECURITIES.COM,Jonathan Belfield,Jonathan.Belfield@CENTURYSECURITIES.COM,28218
KAYNE ANDERSON CAPITAL ADVISORS LP,1800 AVENUE OF THE STARS,THIRD  FLOOR,LOS ANGELES,CA,90067,3102827900,WWW.KAYNEFUNDS.COM,James Valdez Jr,James.Valdez Jr@KAYNEFUNDS.COM,104536
CAMBRIDGE ADVISORS INC,"17330 WRIGHT STREET, SUITE 205",,OMAHA,NE,68130,4026971166,WWW.CAMBRIDGEADVISORS.NET,Jamiepaul Denault,Jamiepaul.Denault@CAMBRIDGEADVISORS.NET,104851
CPS INVESTMENT ADVISORS,205 EAST ORANGE STREET,,LAKELAND,FL,33801,8636881725,WWW.CPSINVESTMENTADVISORS.COM,Michael Kertz,Michael.Kertz@CPSINVESTMENTADVISORS.COM,104914
MPM WEALTH ADVISORS,7429 INTERNATIONAL DRIVE,SUITE A,HOLLAND,OH,43528,4198611400,MPMWEALTH.COM,William Del Re,William.Del Re@MPMWEALTH.COM,104926
NOTTINGHAM ADVISORS INC.,100 CORPORATE PARKWAY,SUITE 338,AMHERST,NY,14226,7166333800,WWW.NOTTINGHAMADVISORS.COM,Richard Lathus,Richard.Lathus@NOTTINGHAMADVISORS.COM,104928
"OPTIMUM INVESTMENT ADVISORS, LLC",33 NORTH LASALLE STREET,SUITE 3700,CHICAGO,IL,60602,3127821515,WWW.OPTIMUMINVESTMENT.COM,Paul Raczkowski,Paul.Raczkowski@OPTIMUMINVESTMENT.COM,105182
"THOMAS WRIGHT ASSET MANAGEMENT, INC.",1110 QUEENSBOROUGH BLVD,SUITE 103,MT. PLEASANT,SC,29464,8439714265,WWW.INVESTWRIGHT.COM/,Kenneth Huisenga,Kenneth.Huisenga@INVESTWRIGHT.COM/,105192
"DELTA ADVISORY GROUP, INC.",696 N MAITLAND AVENUE,,MAITLAND,FL,32751,4073319213,WWW.DELTAADVISORY.COM,Carl Rhodes,Carl.Rhodes@DELTAADVISORY.COM,105966
AMI INVESTMENT MANAGEMENT INC,710 N KRUEGER STREET,,KENDALLVILLE,IN,46755,2603471281,WWW.AMIINVESTMENT.COM,Mircea Ronnett,Mircea.Ronnett@AMIINVESTMENT.COM,106321
SPENCE ASSET MANAGEMENT,3529 FOOTHILLS ROAD,,LAS CRUCES,NM,88011,5755568500,WWW.SPENCEASSETMANAGEMENT.COM,David Harris Jr,David.Harris Jr@SPENCEASSETMANAGEMENT.COM,106802
"HUDSON ADVISOR SERVICES, INC.",237 MAIN STREET,SUITE 600,BUFFALO,NY,14203,8775041964,WWW.HUDSONADVISORS.COM,Rudolph Adams,Rudolph.Adams@HUDSONADVISORS.COM,107769
LATHROP INVESTMENT MANAGEMENT CORP,10 CORPORATE HILL DRIVE,SUITE 225,LITTLE ROCK,AR,72205,5012274930,WWW.LIMC.COM,Ernest Worthy Jr,Ernest.Worthy Jr@LIMC.COM,108327
COURT PLACE ADVISORS LLC,3300 NORTH RIDGE ROAD,SUITE 345,ELLICOTT CITY,MD,21043,4104654321,WWW.COURTPLACEADVISORS.COM,Edward Sorbel,Edward.Sorbel@COURTPLACEADVISORS.COM,108545
HCR WEALTH ADVISORS,10866 WISHIRE BLVD.,SUITE 1600,LOS ANGELES,CA,90024,3104735445,WWW.HCRWEALTH.COM,Matthew Connors,Matthew.Connors@HCRWEALTH.COM,108676
"LOGAN CAPITAL MANAGEMENT, INC.","SIX COULTER AVENUE, SUITE 2000",,ARDMORE,PA,19003,2155691100,WWW.LOGANCAPITAL.COM,Elishes Bowden,Elishes.Bowden@LOGANCAPITAL.COM,108893
"BALDWIN INVESTMENT MANAGEMENT, LLC",100 FOUR FALLS CORPORATE CENTER,SUITE 202,WEST CONSHOHOCKEN,PA,19428,6102601555,WWW.BALDWINIM.COM/,Martin Ventura,Martin.Ventura@BALDWINIM.COM/,108922
CANON CAPITAL INVESTMENT ADVISORY,2936 FUNKS ROAD,,HATFIELD,PA,19440,2157234881,WWW.CANONCAPITAL.COM,James Coleman,James.Coleman@CANONCAPITAL.COM,109557
"REZNY WEALTH MANAGEMENT, INC.",1308 MACOM DRIVE,SUITE 101,NAPERVILLE,IL,60564,6305271897,WWW.REZNYWEALTH.COM,Joseph Davis,Joseph.Davis@REZNYWEALTH.COM,109638
SUMMIT PORTFOLIO MANAGEMENT LLC,9328 TOURNAMENT CANYON DR.,,LAS VEGAS,NV,89144,7028389999,SUMMITPORTFOLIO.COM/,Norman Watson,Norman.Watson@SUMMITPORTFOLIO.COM/,111243
LGT FINANCIAL ADVISORS LLC,2626 HOWELL ST,SUITE 700,DALLAS,TX,75204,2144611500,WWW.LGT-FA.COM,Rich Miedema,Rich.Miedema@LGT-FA.COM,111575
STUYVESANT CAPITAL MANAGEMENT CORPORATION,200 BUSINESS PARK DR.,STE. 300,ARMONK,NY,10504,9142193010,WWW.STUYVESANTCAPITAL.COM,Michael Lazowski,Michael.Lazowski@STUYVESANTCAPITAL.COM,111998
"TUFTON CAPITAL MANAGEMENT, LLC",303 INTERNATIONAL CIRCLE,SUITE 430,HUNT VALLEY,MD,21030,4104008500,WWW.TUFTONCAPITAL.COM,Daniel Koenig,Daniel.Koenig@TUFTONCAPITAL.COM,113543
"MCELHENNY SHEFFIELD CAPITAL MANAGEMENT, LLC",4701 W. LOVERS LANE,,DALLAS,TX,75209,2149229200,MSCM.NET/,Miles Franklin,Miles.Franklin@MSCM.NET/,115120
